epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2226,0.94624,4.09653,1.11139,0.00558,0.36364,0.01054,0.00392,0.30398,4.15452,0.84999,2.5e-05,2.5e-05,2.5e-05
2,25.798,0.93881,3.96847,1.06291,0.01016,0.63636,0.22383,0.10108,0.4086,4.07839,0.85201,6.12625e-05,6.12625e-05,6.12625e-05
3,37.0175,1.05916,3.70527,1.02279,0.01687,1,0.75772,0.5545,0.51192,3.9722,0.86129,9.604e-05,9.604e-05,9.604e-05
4,49.5016,1.05369,2.8772,1.01531,0.02316,1,0.88302,0.67538,0.66976,3.79239,0.82674,0.000129332,0.000129332,0.000129332
5,65.0616,0.96632,1.97794,0.93711,0.03226,1,0.8855,0.62079,0.79603,3.66032,0.85356,0.00016114,0.00016114,0.00016114
6,79.1475,1.01107,1.80162,0.96205,0.03901,1,0.93924,0.68042,0.78349,3.5902,0.86187,0.000191463,0.000191463,0.000191463
7,91.7135,0.89256,1.82218,0.9179,0.04231,1,0.90737,0.68068,0.73151,3.62238,0.86938,0.0002203,0.0002203,0.0002203
8,104.917,0.86857,1.49414,0.91752,0.04151,1,0.8695,0.63349,0.7581,3.69218,0.91485,0.000247653,0.000247653,0.000247653
9,117.353,0.92715,1.54155,0.97773,0.03887,1,0.81956,0.64109,0.75684,3.66675,0.92685,0.00027352,0.00027352,0.00027352
10,129.801,0.83419,1.32298,0.89955,0.03497,0.90909,0.77892,0.61098,0.74925,3.68482,0.92566,0.000297903,0.000297903,0.000297903
11,141.17,0.94015,1.57661,0.93167,0.02875,0.81818,0.67142,0.47789,0.78514,3.72815,0.9855,0.0003208,0.0003208,0.0003208
12,153.191,0.81791,1.30983,0.91944,0.02235,0.72727,0.59385,0.43455,0.77356,3.78983,0.99282,0.000342213,0.000342213,0.000342213
13,164.819,0.81832,1.34741,0.91971,0.01446,0.63636,0.56979,0.44009,0.80173,3.89294,1.03637,0.00036214,0.00036214,0.00036214
14,176.699,0.72437,1.29488,0.89782,0.01047,0.54545,0.47838,0.35141,0.79026,3.8735,1.03731,0.000380582,0.000380582,0.000380582
15,189.125,0.83994,1.44056,0.97902,0.01357,0.90909,0.69914,0.49415,0.85097,3.6968,1.10497,0.00039754,0.00039754,0.00039754
16,200.901,0.80064,1.31594,0.96941,0.01142,0.81818,0.67832,0.51771,0.85775,3.74501,1.12031,0.000413012,0.000413012,0.000413012
17,212.945,0.852,1.23963,0.91862,0.00703,0.54545,0.39242,0.28928,0.93694,4.02634,1.1355,0.000427,0.000427,0.000427
18,224.678,0.74341,1.49843,0.94798,0.00693,0.54545,0.228,0.18871,0.95833,4.10563,1.13097,0.000439502,0.000439502,0.000439502
19,237.11,0.82663,1.41789,0.97657,0.00998,0.81818,0.23457,0.20633,0.98138,4.13801,1.11595,0.00045052,0.00045052,0.00045052
20,249.989,0.7575,1.28144,0.88557,0.01073,0.90909,0.57107,0.38878,0.93963,3.90034,1.03597,0.000460053,0.000460053,0.000460053
21,262.601,0.73903,2.43756,0.88489,0.01064,0.90909,0.73321,0.52794,0.90387,3.55146,1.00783,0.0004681,0.0004681,0.0004681
22,275.774,0.79322,1.35128,0.91099,1,0.65409,0.92429,0.60962,0.88589,3.24023,1.01452,0.000474663,0.000474663,0.000474663
23,288.105,0.72224,1.13576,0.90788,1,0.52745,0.92734,0.63594,0.86186,2.84392,1.03003,0.00047974,0.00047974,0.00047974
24,300.44,0.83706,1.23713,0.93591,0.75612,0.84714,0.9065,0.63067,0.93868,2.4778,1.08962,0.000483333,0.000483333,0.000483333
25,312.698,0.65738,1.19592,0.88996,0.67019,0.90909,0.9217,0.64649,0.95526,2.22344,1.12679,0.00048544,0.00048544,0.00048544
26,324.943,0.7433,1.07655,0.90008,0.81308,0.81818,0.85843,0.56865,1.00118,2.16564,1.11883,0.000486063,0.000486063,0.000486063
27,337.02,0.73295,1.1352,0.93404,0.77547,0.81818,0.88238,0.60809,0.94569,2.17119,1.11511,0.0004852,0.0004852,0.0004852
28,349.351,0.86559,1.38848,0.98983,0.75977,0.86436,0.91245,0.65246,0.88876,2.27403,1.10991,0.000482852,0.000482852,0.000482852
29,361.657,0.70202,1.03918,0.87925,0.75977,0.86436,0.91245,0.65246,0.88876,2.27403,1.10991,0.00047902,0.00047902,0.00047902
30,374.21,0.86517,1.12956,0.97133,0.77236,0.92632,0.91571,0.62791,0.90615,2.33529,1.11106,0.000473703,0.000473703,0.000473703
31,386.72,0.64526,1.10032,0.87496,0.81463,1,0.94024,0.65965,0.90303,2.27747,1.1032,0.0004669,0.0004669,0.0004669
32,399.241,0.71416,1.09292,0.91738,0.91174,0.94083,0.965,0.73168,0.84768,2.09438,1.09029,0.000458613,0.000458613,0.000458613
33,411.582,0.68719,1.09347,0.89391,0.91174,0.94083,0.965,0.73168,0.84768,2.09438,1.09029,0.00044884,0.00044884,0.00044884
34,424.196,0.66929,1.00663,0.8974,0.90684,0.88659,0.965,0.75855,0.72166,1.89354,1.04497,0.00043325,0.00043325,0.00043325
35,436.914,0.6546,0.96578,0.89009,0.8975,0.79774,0.93843,0.76996,0.67145,1.82106,1.01966,0.0004085,0.0004085,0.0004085
36,449.395,0.69877,1.04437,0.93704,0.8971,0.79446,0.938,0.74752,0.68734,1.80694,1.00746,0.00038375,0.00038375,0.00038375
37,462.122,0.66886,1.04535,0.91017,0.8971,0.79446,0.938,0.74752,0.68734,1.80694,1.00746,0.000359,0.000359,0.000359
38,474.733,0.69298,1.26527,0.92048,0.97484,0.72727,0.93714,0.73176,0.6923,1.70087,1.01328,0.00033425,0.00033425,0.00033425
39,487.375,0.66387,0.98741,0.91689,0.97475,0.72727,0.9245,0.71936,0.69336,1.65336,0.99917,0.0003095,0.0003095,0.0003095
40,500.325,0.64679,0.96765,0.96584,0.98313,0.72727,0.93714,0.71533,0.69801,1.5828,0.98833,0.00028475,0.00028475,0.00028475
41,512.527,0.58277,1.08932,0.88407,0.98313,0.72727,0.93714,0.71533,0.69801,1.5828,0.98833,0.00026,0.00026,0.00026
42,524.586,0.52054,1.17776,0.8493,0.994,0.72727,0.93387,0.72121,0.71681,1.56016,0.98866,0.00023525,0.00023525,0.00023525
43,537.198,0.58437,1.00366,0.87162,0.99777,0.72727,0.938,0.69376,0.72026,1.59471,0.97352,0.0002105,0.0002105,0.0002105
44,549.565,0.70966,1.02057,0.86118,1,0.81414,0.947,0.72605,0.72226,1.64426,0.96922,0.00018575,0.00018575,0.00018575
45,562.122,0.58361,1.06512,0.89416,1,0.81414,0.947,0.72605,0.72226,1.64426,0.96922,0.000161,0.000161,0.000161
46,574.171,0.62271,1.11783,0.87889,0.97194,0.81818,0.947,0.75642,0.68944,1.65266,0.95403,0.00013625,0.00013625,0.00013625
47,586.579,0.59091,1.03275,0.84603,0.94756,0.81818,0.947,0.76138,0.66245,1.62366,0.94878,0.0001115,0.0001115,0.0001115
48,598.418,0.55539,1.02092,0.86825,0.95219,0.81818,0.947,0.77115,0.63309,1.58831,0.93507,8.675e-05,8.675e-05,8.675e-05
49,610.271,0.68596,1.1457,0.86206,0.95219,0.81818,0.947,0.77115,0.63309,1.58831,0.93507,6.2e-05,6.2e-05,6.2e-05
50,621.84,0.53841,1.0139,0.85235,0.98158,0.81818,0.95023,0.78433,0.60137,1.52487,0.91982,3.725e-05,3.725e-05,3.725e-05
